,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
20341,Twitter,,,,30-34,32.0,Male,Developer; Engineer; Programmer; Ninja; Hacker,Back-end web developer,Back-end web developer,6 - 10 years,8.0,Rather not say,,,C++; Cassandra; Go,C++; Go,No,7.0,Employed full-time,Internet,I am not sure,10-14 people,2,I rarely work remotely,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Vim,Once a day,1-2 hours per week,Cats,Other Linux,Yes,I'm not sure,Once a month,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),I am not interested in new job opportunities,Salary; Company culture; Flexible work hours,Writing cover letters,100%,,,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,Neutral,Neutral,Disagree somewhat,Disagree somewhat,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Poor scheduling; Poor documentation; Changing requirements,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
21238,Twitter,,,,20-24,22.0,Male,Developer; Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22606,Twitter,,,,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",11+ years,13.0,"More than $200,000",210000.0,,C; C++; C#; Java; Scala,Arduino / Raspberry Pi; Dart; Haskell; Rust; Scala; Spark,Yes,10.0,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24177,Twitter,,,,35-39,37.0,Male,Manager,Product manager,Product manager,11+ years,13.0,"More than $200,000",210000.0,,JavaScript; Node.js; Objective-C,Arduino / Raspberry Pi; JavaScript; R; Swift,Yes,7.0,Employed full-time,Software Products,20-99 employees,1-4 people,0,Part-time remote,I'm somewhat dissatisfied with my job,A friend referred me,Sublime; Visual Studio; Visual Studio Code,A few times a month,1-2 hours per week,Dogs,Mac OS X,Yes,"1,001 - 5,000",Once a week,I'm curious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24439,Twitter,,,,30-34,32.0,Female,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25603,Twitter,,,,35-39,37.0,Male,Engineer; Sr. Developer,Engineering manager,Engineering manager,6 - 10 years,8.0,"$50,000 - $60,000",55000.0,,Android; C++; Java; Matlab; Python,C++; Python; Scala; Spark,No,8.0,Employed full-time,Other (please specify),20-99 employees,5-9 people,1,I rarely work remotely,I'm neither satisfied nor dissatisfied,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Emacs; Eclipse; NetBeans; Visual Studio,A couple times a week,1-2 hours per week,Dogs,Mint,Yes,"1,001 - 5,000",Very rarely,To keep my skills up to date,Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Opportunity for advancement; Quality of colleagues,Writing cover letters,40%,Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,Star Wars,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,Neutral,Neutral,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Unrealistic expectations; Limited resources; Trying to be nice,To get help for my job; whyso_onlinepresence; To discover new job opportunities
27455,Twitter,,,,20-24,22.0,Male,Programmer,Student,Student,6 - 10 years,8.0,,,,C++; JavaScript; Python,C++,Yes,8.0,I'm a student,,,,,,,,Notepad++,I never check-in or commit code,5-10 hours per week,Cats,Ubuntu,I don't know,2 - 100,Once a day,To build a specific product I have in mind,I'm self-taught; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Equity; Ability to make or influence important decisions; Health insurance; Quality of colleagues; Company reputation; Building something that's significant; Remote working option; Building something that's innovative,Other (please specify),50%,Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,Agree somewhat,Agree completely,Disagree completely,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,,To get help for my job; To receive help on my personal projects; Beacause I love to learn
46655,Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor team dynamics; Poor scheduling,
48173,Twitter,,,,25-29,27.0,Male,Developer; Engineer,Front-end web developer,Front-end web developer,6 - 10 years,8.0,"$70,000 - $80,000",75000.0,,Arduino / Raspberry Pi; AngularJS; CoffeeScript; JavaScript; Node.js; ReactJS,Arduino / Raspberry Pi; ReactJS; Redis; Swift,Yes,6.0,Employed full-time,Software Products,10-19 employees,1-4 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Atom,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,I'm not sure,Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am actively looking for a new job,Tech stack; Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours,Searching for a job that seems interesting,20%,Introduce me to the team; Prepare me for who I will be speaking with,Star Trek,Neutral,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Poor scheduling; Outdated technologies; Non-technical management; Changing requirements; Unspecific requirements,To get help for my job; Because I can't do my job without it; To discover new job opportunities; To receive help on my personal projects
49224,Twitter,,,,,,,Developer; Programmer; Guru; Full Stack Overflow Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50006,Twitter,,,,20-24,22.0,Male,Developer; Engineer; Programmer; Ninja; Guru,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"Less than $10,000",5000.0,,Android; C; C++; C#; Java; SQL,Python,Yes,7.0,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51249,Twitter,,,,40-49,44.5,Male,Developer; Programmer; Sr. Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51834,Twitter,,,,40-49,44.5,Male,Developer; Engineer; Programmer,Student,Student,1 - 2 years,1.5,"Less than $10,000",5000.0,,Arduino / Raspberry Pi; C; Java; Python; Swift,Swift,Yes,5.0,I'm a student,,,,,,,,Atom; Vim; Eclipse; PyCharm; Xcode,A couple times a week,2-5 hours per week,Dogs,Mac OS X,Yes,I don't have an account,Multiple times a day,I'm curious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52126,Twitter,,,,50-59,54.5,,Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52144,Twitter,,,,,,Male,Full-stack Developer; Full Stack Overflow Developer; Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52485,Twitter,,,,20-24,22.0,Male,Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,,Arduino / Raspberry Pi; AngularJS; JavaScript; LAMP; Node.js; PHP,Arduino / Raspberry Pi; AngularJS; JavaScript; Node.js; PHP,No,7.0,Employed full-time,Media / Advertising,20-99 employees,5-9 people,1,Full-time remote,I'm somewhat satisfied with my job,A friend referred me,Atom; PhpStorm,Multiple times a day,2-5 hours per week,Other (please specify),Mac OS X,Yes,I'm not sure,Multiple times a day,To pursue career goals,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Building something that's significant,The interview process,40%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Neutral,Agree completely,Agree somewhat,Disagree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,Poor scheduling; Unrealistic expectations; Unspecific requirements,Beacause I love to learn
